code;name_en;name_ru;title_en;title_ru;friendlyUrl_en;friendlyUrl_ru;highlights_en;highlights_ru;position;visible;parent;
290;name_en;Для чистки посуды;title_en;Для чистки посуды;friendlyUrl_en;290;0;0;1280;1;6;
289;name_en;Для мытья посуды;title_en;Для мытья посуды;friendlyUrl_en;289;0;0;1270;1;6;
77;name_en;Жидкое мыло;title_en;Жидкое мыло;friendlyUrl_en;77;0;0;420;1;7;
76;name_en;Хозяйственное мыло;title_en;Хозяйственное мыло;friendlyUrl_en;76;0;0;410;1;7;
75;name_en;Туалетное мыло твердое;title_en;Туалетное мыло твердое;friendlyUrl_en;75;0;0;400;1;7;
106;name_en;Средства для стиральных машин водосмягчающие;title_en;Средства для стиральных машин водосмягчающие;friendlyUrl_en;106;0;0;570;1;17;
117;name_en;Стиральный порошок сыпучий;title_en;Стиральный порошок сыпучий;friendlyUrl_en;117;0;0;620;1;17;
278;name_en;Антистатики,средства для глажки,подкрахмаливатели;title_en;Антистатики,средства для глажки,подкрахмаливатели;friendlyUrl_en;278;0;0;1160;1;17;
277;name_en;Пятновыводители и отбеливатели;title_en;Пятновыводители и отбеливатели;friendlyUrl_en;277;0;0;1150;1;17;
276;name_en;Кондиционеры и ополаскиватели для белья;title_en;Кондиционеры и ополаскиватели для белья;friendlyUrl_en;276;0;0;1140;1;17;
118;name_en;Жидкие средства для стирки;title_en;Жидкие средства для стирки;friendlyUrl_en;118;0;0;630;1;17;
306;name_en;Тени;title_en;Тени;friendlyUrl_en;306;0;0;1440;1;28;
270;name_en;Крем, гель, маска, сыровотка;title_en;Крем, гель, маска, сыровотка;friendlyUrl_en;270;0;0;1110;1;28;
269;name_en;Тушь, подводка,карандаши;title_en;Тушь, подводка,карандаши;friendlyUrl_en;269;0;0;1100;1;28;
305;name_en;Бальзам,сыровотка;title_en;Бальзам,сыровотка;friendlyUrl_en;305;0;0;1430;1;29;
304;name_en;Блеск;title_en;Блеск;friendlyUrl_en;304;0;0;1420;1;29;
303;name_en;Помада;title_en;Помада;friendlyUrl_en;303;0;0;1410;1;29;
300;name_en;Помада ЭлиТа прозрачная;title_en;Помада ЭлиТа прозрачная;friendlyUrl_en;300;0;0;1380;1;29;
297;name_en;Лак ВК-7 мл-мини  ЭлиТа;title_en;Лак ВК-7 мл-мини  ЭлиТа;friendlyUrl_en;297;0;0;1350;1;30;
298;name_en;Лак Диамант ЭлиТа;title_en;Лак Диамант ЭлиТа;friendlyUrl_en;298;0;0;1360;1;30;
299;name_en;Лак Хамелеон ЭлиТа;title_en;Лак Хамелеон ЭлиТа;friendlyUrl_en;299;0;0;1370;1;30;
296;name_en;Лак Ажур(паутина) ЭлиТа;title_en;Лак Ажур(паутина) ЭлиТа;friendlyUrl_en;296;0;0;1340;1;30;
301;name_en;Лак Премьера  ЭлиТа;title_en;Лак Премьера  ЭлиТа;friendlyUrl_en;301;0;0;1390;1;30;
295;name_en;Лак Магнитный ЭлиТа;title_en;Лак Магнитный ЭлиТа;friendlyUrl_en;295;0;0;1330;1;30;
294;name_en;Лак Классик ЭлиТа;title_en;Лак Классик ЭлиТа;friendlyUrl_en;294;0;0;1320;1;30;
266;name_en;Крем для лица;title_en;Крем для лица;friendlyUrl_en;266;0;0;1070;1;31;
267;name_en;Сыровотка для лица;title_en;Сыровотка для лица;friendlyUrl_en;267;0;0;1080;1;31;
268;name_en;Маски, скраб;title_en;Маски, скраб;friendlyUrl_en;268;0;0;1090;1;31;
271;name_en;Средства для нанесения и удаления макияжа;title_en;Средства для нанесения и удаления макияжа;friendlyUrl_en;271;0;0;1120;1;31;
73;name_en;Туалетные воды для женщин;title_en;Туалетные воды для женщин;friendlyUrl_en;73;0;0;380;1;46;
74;name_en;Туалетные воды для мужчин;title_en;Туалетные воды для мужчин;friendlyUrl_en;74;0;0;390;1;46;
78;name_en;Ватные диски, подушечки;title_en;Ватные диски, подушечки;friendlyUrl_en;78;0;0;430;1;49;
79;name_en;Ватные палочки;title_en;Ватные палочки;friendlyUrl_en;79;0;0;440;1;49;
81;name_en;Салфетки косметические;title_en;Салфетки косметические;friendlyUrl_en;81;0;0;450;1;49;
273;name_en;Бальзам,лосьон;title_en;Бальзам,лосьон;friendlyUrl_en;273;0;0;1130;1;54;
302;name_en;Пена;title_en;Пена;friendlyUrl_en;302;0;0;1400;1;54;
104;name_en;Зубные пасты, зубные щетки;title_en;Зубные пасты, зубные щетки;friendlyUrl_en;104;0;0;560;1;86;
88;name_en;Крема, масла, молочко;title_en;Крема, масла, молочко;friendlyUrl_en;88;0;0;490;1;86;
87;name_en;Влажные и сухие салфетки, ватные палочки;title_en;Влажные и сухие салфетки, ватные палочки;friendlyUrl_en;87;0;0;480;1;86;
90;name_en;Шампуни и бальзамы;title_en;Шампуни и бальзамы;friendlyUrl_en;90;0;0;510;1;89;
91;name_en;Гели, пенки, соли для купания;title_en;Гели, пенки, соли для купания;friendlyUrl_en;91;0;0;520;1;89;
92;name_en;Детское мыло;title_en;Детское мыло;friendlyUrl_en;92;0;0;530;1;89;
109;name_en;Для женщин;title_en;Для женщин;friendlyUrl_en;109;0;0;600;1;108;
110;name_en;Для мужчин;title_en;Для мужчин;friendlyUrl_en;110;0;0;610;1;108;
292;name_en;Система удаления цвета краски с волос;title_en;Система удаления цвета краски с волос;friendlyUrl_en;292;0;0;1300;1;123;
172;name_en;Краски  для волос;title_en;Краски  для волос;friendlyUrl_en;172;0;0;800;1;123;
189;name_en;Басма и хна;title_en;Басма и хна;friendlyUrl_en;189;0;0;840;1;123;
194;name_en;Краска для ресниц и бровей;title_en;Краска для ресниц и бровей;friendlyUrl_en;194;0;0;860;1;123;
195;name_en;Тоналайзер TIN COLOR;title_en;Тоналайзер TIN COLOR;friendlyUrl_en;195;0;0;870;1;123;
220;name_en;Осветлители для волос;title_en;Осветлители для волос;friendlyUrl_en;220;0;0;910;1;123;
223;name_en;Средство для удаления краски с кожи;title_en;Средство для удаления краски с кожи;friendlyUrl_en;223;0;0;920;1;123;
228;name_en;Окислители;title_en;Окислители;friendlyUrl_en;228;0;0;940;1;123;
230;name_en;Средства для химической завивки;title_en;Средства для химической завивки;friendlyUrl_en;230;0;0;950;1;123;
262;name_en;Биоактиватор Ревлон;title_en;Биоактиватор Ревлон;friendlyUrl_en;262;0;0;1040;1;123;
217;name_en;Лаки;title_en;Лаки;friendlyUrl_en;217;0;0;900;1;215;
232;name_en;Гель, воск;title_en;Гель, воск;friendlyUrl_en;232;0;0;960;1;215;
258;name_en;Пена, мусс, спрей, флюид,крем;title_en;Пена, мусс, спрей, флюид,крем;friendlyUrl_en;258;0;0;1010;1;215;
225;name_en;Кондиционер, эликсир,спрей;title_en;Кондиционер, эликсир,спрей;friendlyUrl_en;225;0;0;930;1;216;
257;name_en;Бальзам,, крем;title_en;Бальзам,, крем;friendlyUrl_en;257;0;0;1000;1;216;
256;name_en;Маски;title_en;Маски;friendlyUrl_en;256;0;0;990;1;216;
255;name_en;Сыворотка, масло, лосьон;title_en;Сыворотка, масло, лосьон;friendlyUrl_en;255;0;0;980;1;216;
236;name_en;Жидкие кристаллы  Jerden Proff, Brelil;title_en;Жидкие кристаллы  Jerden Proff, Brelil;friendlyUrl_en;236;0;0;970;1;216;
